feature,coef
Overall Qual,0.4566294711676171
Exter Qual,0.06327745190442216
Bsmt Qual,-0.0
Kitchen Qual,0.09114646985805398
Garage Finish,0.003347644721425566
Garage Cars,0.06933425979679057
Total Bath,0.04819948258762858
FloorSqft,0.3086047473918138
Gr Liv Area,0.5455719871609452
Garage Area,0.05815972725874437
Total Bsmt SF,0.29299923968461794
remod age,-0.09859009876680185
total age,-0.044045885565763346
Overall Qual,0.12937945703929862
Exter Qual,0.013654862218945258
Kitchen Qual,0.00038856582852598686
Garage Finish,0.0028458478440075504
Garage Cars,0.005463961509986845
Total Bath,0.004741306821931183
BsmtFin SF 1,0.2350511784812791
Gr Liv Area,0.0
Garage Area,0.0
FloorSqft,0.0
total age,-0.0
remod age,-0.0
Total Porch SF,0.17441815591110757
MS Zoning_RL,0.029743600641117675
Lot Config_CulDSac,0.024811209335751663
Neighborhood_BrDale,-0.06916292238996156
Neighborhood_ClearCr,0.05155480083669619
Neighborhood_Crawfor,0.09269127012769537
Neighborhood_Edwards,-0.038627424797871734
Neighborhood_IDOTRR,-0.07895205136496981
Neighborhood_MeadowV,-0.1450965149290154
Neighborhood_NridgHt,0.060558472130628614
Neighborhood_OldTown,-0.038128646470990166
Neighborhood_SawyerW,-0.040494275416701316
Neighborhood_Somerst,0.041140529749998746
Neighborhood_StoneBr,0.08350038761617277
Neighborhood_Timber,0.018971190691573967
Condition 1_Artery,-0.036359067169079926
Condition 1_Norm,0.021344331841351497
Condition 1_PosA,0.08586668468098961
Condition 1_RRNn,-0.03289567368682455
Bldg Type_1Fam,0.05283940503952907
House Style_2.5Unf,0.058309883488846866
House Style_SFoyer,0.03798929434620277
House Style_SLvl,0.029344950392589296
Roof Style_Mansard,-0.13063225434377426
Roof Matl_WdShngl,0.06078705317136908
Exterior 1st_AsbShng,-0.15252455570837312
Exterior 1st_BrkComm,-0.11734786808453296
Exterior 1st_BrkFace,0.07796805670875019
Exterior 2nd_AsbShng,-0.012788634120419416
Mas Vnr Type_Stone,0.019386708518623782
Foundation_BrkTil,-0.028672563411917196
Heating_GasA,0.11335300383366223
Heating_GasW,0.14050452056923915
Heating_Grav,-0.0
Heating QC_Ex,0.014808094119696446
Heating QC_TA,-0.017344742122751708
Central Air_N,-0.07431348686218787
Electrical_SBrkr,0.01697487464846641
Functional_Maj1,-0.0010721818534598618
Functional_Maj2,-0.010993664696937138
Functional_Min1,0.08771413468912238
Functional_Min2,0.09247017819417282
Functional_Typ,0.12038798635911745
Garage Type_Attchd,0.01054876991200306
Garage Type_CarPort,-0.0
Paved Drive_N,-0.07746316643127647
Paved Drive_Y,0.011735511662953668
Sale Type_COD,-0.06865165522030683
Sale Type_ConLw,-0.0
Sale Type_New,0.04479379663060516
