,SalePrice
MS SubClass,-0.0042717400268496505
Overall Qual,0.8090061800206982
Overall Cond,-0.16116280175792508
Exter Qual,0.6999902171742106
Exter Cond,0.02938776583106074
Bsmt Qual,0.7004060753191804
Bsmt Cond,0.2816942422857983
Bsmt Exposure,0.38243511149227327
BsmtFin Type 1,0.4145809240913859
BsmtFin Type 2,0.0419883179004827
Low Qual Fin SF,-0.08540416328356154
Bedroom AbvGr,0.18676773846462566
Kitchen AbvGr,-0.15010499603747102
Kitchen Qual,0.6842917026832861
TotRms AbvGrd,0.5032282560263195
Fireplaces,0.5231243216901049
Garage Finish,0.6377110782946901
Garage Cars,0.7031321434126592
Garage Qual,0.36855168641372493
Garage Cond,0.34174672979908727
Misc Val,-0.037435956254603886
Total Bath,0.6909867597286753
SalePrice,1.0
