id,Saleprice
2658,115077.44340250577
2718,169431.0272033556
2414,205257.57214626268
1989,111149.23919923491
625,170746.42263485226
333,90525.25171206234
1327,106124.21907590375
858,146615.18297792735
95,190046.83093112241
1568,160876.99041225508
2482,152083.20058292247
1364,121516.88051580681
2584,147964.23468912626
818,278069.74325488997
2673,117565.88403468477
2089,122540.72202061865
1297,131143.10594295792
790,120916.61906082259
2616,219116.19487487743
720,163623.56583872833
222,147756.48247404752
557,126805.20836535539
1148,176639.82421853475
2766,180628.93341217778
534,172821.7380422192
1452,114189.08501645693
630,132051.1796395275
2648,118613.07536876094
125,154492.5667988693
1904,67027.58425295426
1670,107351.52134988394
756,100458.54731023843
717,176412.78228445124
1032,168105.17299220926
852,201615.21760484838
1731,176900.5519049325
2639,100981.4220004834
2071,86721.20847812812
1267,127982.15655483454
1851,182438.4264515703
567,164136.16582925245
2439,207482.67765662892
1898,153897.48938589465
647,149566.30022192706
2256,201746.92962116178
979,93209.29932945302
1444,215182.6855184384
2485,124248.94149963307
157,133457.36456693636
88,135759.026144782
2003,119897.54698122227
186,194144.17498215224
1425,236534.87734632433
2695,127802.76839576365
738,111297.69015304347
395,157449.13551736687
1353,161545.92809286164
1878,142652.56988144864
390,166301.13976134633
1456,237645.99174431548
1103,314822.0229899151
1387,134275.68896063048
2070,129160.0850497896
1199,173005.25727063188
2479,176812.51714523224
501,287927.5466582963
2362,104736.39034812577
1718,201578.14944543142
2188,98696.67941423728
1483,144169.5108927314
2557,100485.03856095028
437,396862.4681841681
2224,211996.77562399855
1628,180994.3796032571
397,132230.12840382534
587,199516.09339699373
2182,983134.0475990886
971,140873.90830312797
2611,159845.36529360883
1887,103903.00083877923
2399,345849.97168944404
2148,197680.23912903428
304,108903.3295040136
1997,128854.01528907368
2817,130232.28124363549
1431,214903.2105603783
427,320280.19655439677
263,120088.85138603552
598,175167.66353843198
2895,226190.62456914855
687,130076.42109759421
1822,140740.39175233012
2191,107756.33910670834
179,114100.40381925664
1009,213214.5789770946
2010,134052.51773910038
1991,127844.43636405532
1411,172680.3837960861
1721,227165.56069237497
1144,187772.85466782132
593,224044.39232905867
575,309819.039423859
1249,158429.62168724777
1604,137327.8227160851
1064,549744.4588931843
1923,149459.292194322
1988,111865.8525652044
2325,178691.89475798685
114,189692.13510409923
2700,178435.9969676468
217,130264.09594565813
343,172070.77516958708
386,209212.23351130646
2005,106757.64282411062
2908,129393.99364240593
1814,231461.6265043536
2446,581002.6688870107
208,121691.29381859419
1679,101710.4519651475
822,319023.6698730791
6,195149.28899732287
1781,412076.06369186385
2397,281874.41132506094
2340,287797.3628138667
1618,163456.82259417276
2843,133422.14591903807
1061,373472.3925987959
2786,120498.84498596692
1935,142509.67489809913
1341,102737.90785426326
521,258238.0630897105
2136,133411.64926879137
996,189919.9061466694
227,144555.87195698897
135,177350.3022765425
1167,167314.89841083347
294,235039.94603469234
1776,202023.5481379799
540,163860.86119414447
1717,204597.1533926436
2303,126730.75975528751
116,180261.3747905306
127,146284.04523528146
1371,132033.94284533506
1014,153181.5681727665
1507,112007.13516909143
